Silver apartment Ottavia Residence,"Entire condo in Rome, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1.5 baths,€ 132 ,Hosted by Smartmedia,5 months hosting,Not guest favourite,Not guest favourite
King of Rome,"Room in Rome, Italy",1 single bed ·  · Shared bathroom,€ 225 ,Hosted by Andrea&Nataly Capodarte,9 years hosting,Not guest favourite,Not guest favourite
Magic Scandeluzza Castle in Rome ,"Room in Rome, Italy",5 bedrooms ·  · Shared bathroom,€ 48 ,Hosted by Pier Dante Filippo,10 years hosting,Not guest favourite,Not guest favourite
marital staz.Tiburtina,"Room in Rome, Italy",1 bed ·  · Shared bathroom,€ 72 ,Stay with Reza,7 months hosting,Not guest favourite,Not guest favourite
A perfect suite in Rome.,"Entire rental unit in Rome, Italy",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,€ 142 ,Hosted by Carlo,10 months hosting,Not guest favourite,Not guest favourite
The House of Grandparents,"Entire rental unit in Mentana, Italy",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,€ 55 ,Hosted by Nora,3 years hosting,Not guest favourite,Not guest favourite
MariaRosy Due Roma Home,"Room in Rome, Italy",2 bedrooms ·  · 2 double beds ·  · Private attached bathroom,€ 60 ,Stay with MariaRosy,12 years hosting,Not guest favourite,Not guest favourite
Wood - Mille and One Nights,"Room in Rome, Italy",1 bedroom ·  · Shared bathroom,€ 158 ,Stay with Fabiana,3 months hosting,Not guest favourite,Not guest favourite
Casa Vintage - Piazza Bologna,"Entire vacation home in Rome, Italy",4 guests ·  · 2 bedrooms ·  · 4 beds ·  · 1 bath,€ 213 ,Hosted by Michela,9 years hosting,Not guest favourite,Not guest favourite
Maison delle Antille,"Entire rental unit in Lido di Ostia, Italy",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 129 ,Hosted by Ludovica, · 2 years hosting,Not guest favourite,Not guest favourite
B&B LOVE - Country House 2 Roma,"Private room in casa particular in Rome, Italy",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 68 ,Hosted by Ottavia,3 months hosting,Not guest favourite,Not guest favourite
Casa Roma Relax,"Entire rental unit in Rome, Italy",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 189 ,Hosted by Gabriel,9 months hosting,Not guest favourite,Not guest favourite
Maserati Villa,"Entire rental unit in Rome, Italy",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 133 ,Hosted by Massimiliano,4 years hosting,Not guest favourite,Not guest favourite
Romantic  Jacuzzi Suite Roma,"Room in Rome, Italy",1 bed ·  · Shared bathroom,€ 57 ,Hosted by Pier Dante Filippo,10 years hosting,Not guest favourite,Not guest favourite
"Roma, Sea House Ostia by Interhome","Entire rental unit in Lido di Ostia, Italy",5 guests ·  · 2 bedrooms ·  · 3 beds ·  · 2 baths,€ 159 ,Hosted by Alessandra - Interhome Group,6 years hosting,Not guest favourite,Not guest favourite
Wood - Mille and One Nights,"Room in Rome, Italy",1 bedroom ·  · Shared bathroom,€ 158 ,Stay with Fabiana,3 months hosting,Not guest favourite,Not guest favourite
Casa Roma Relax,"Entire rental unit in Rome, Italy",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,€ 189 ,Hosted by Gabriel,9 months hosting,Not guest favourite,Not guest favourite
marital staz.Tiburtina,"Room in Rome, Italy",1 bed ·  · Shared bathroom,€ 72 ,Stay with Reza,7 months hosting,Not guest favourite,Not guest favourite
